transcript	chr	gene	strand	start	end
NM_130786.4	chr19	A1BG	-	58345182	58353492
NM_130786.3	chr19	A1BG	-	58346849	58353499
NM_138933.2	chr10	A1CF	-	50799408	50885675
NM_138932.2	chr10	A1CF	-	50799408	50885675
NM_014576.4	chr10	A1CF	-	50799408	50885627
NM_014576.3	chr10	A1CF	-	50806561	50885675
NM_001370131.1	chr10	A1CF	-	50799408	50885627
NM_001370130.1	chr10	A1CF	-	50799408	50885627
NM_001198820.1	chr10	A1CF	-	50799408	50885675
NM_001198819.1	chr10	A1CF	-	50799408	50885675
NM_001198818.1	chr10	A1CF	-	50799408	50885675
NM_001347425.1	chr12	A2M	-	9067707	9116229
NM_001347424.1	chr12	A2M	-	9067707	9116229
NM_001347423.2	chr12	A2M	-	9067707	9116229
NM_000014.5	chr12	A2M	-	9067707	9116229
NM_000014.4	chr12	A2M	-	9067711	9116157
NM_144670.6	chr12	A2ML1	+	8822620	8876787
NM_144670.5	chr12	A2ML1	+	8822471	8876785
NM_144670.4	chr12	A2ML1	+	8822471	8876785
NM_001282424.2	chr12	A2ML1	+	8845003	8876783
NM_001282424.1	chr12	A2ML1	+	8845003	8876456
NM_001080438.1	chr1	A3GALT2	-	33306765	33321098
NM_017436.7	chr22	A4GALT	-	42692120	42720870
NM_017436.5	chr22	A4GALT	-	42692120	42695633
NM_001318038.2	chr22	A4GALT	-	42692111	42721301
NM_016161.3	chr3	A4GNT	-	138123712	138132390
NM_016161.2	chr3	A4GNT	-	138123717	138132387
NM_015665.6	chr12	AAAS	-	53307459	53321610
NM_015665.5	chr12	AAAS	-	53307455	53321631
NM_001173466.2	chr12	AAAS	-	53307459	53321610
NM_001173466.1	chr12	AAAS	-	53307458	53321596
NM_023928.5	chr12	AACS	+	125065434	125143316
NM_023928.4	chr12	AACS	+	125065378	125143320
NM_023928.3	chr12	AACS	+	125065378	125143320
NM_001319840.2	chr12	AACS	+	125065434	125143316
NM_001319839.2	chr12	AACS	+	125065434	125143316
NM_001086.3	chr3	AADAC	+	151814115	151828488
NM_001086.2	chr3	AADAC	+	151814036	151828488
NM_207365.4	chr3	AADACL2	+	151733926	151761339
NM_207365.3	chr3	AADACL2	+	151733926	151757766
NM_001103170.3	chr1	AADACL3	+	12716109	12728760
NM_001103170.2	chr1	AADACL3	+	12716142	12728400
NM_001103170.1	chr1	AADACL3	+	12716114	12728759
NM_001013630.1	chr1	AADACL4	+	12644546	12667086
NM_182662.1	chr4	AADAT	-	170060221	170090221
NM_016228.4	chr4	AADAT	-	170060221	170089956
NM_016228.3	chr4	AADAT	-	170060221	170089967
NM_001286683.1	chr4	AADAT	-	170060221	170090387
NM_001286682.1	chr4	AADAT	-	170060221	170090221
NM_153698.1	chr9	AAED1	-	96639576	96655281
NM_024666.5	chr15	AAGAB	-	67200666	67254661
NM_024666.4	chr15	AAGAB	-	67201032	67254736
NM_001271886.1	chr15	AAGAB	-	67200674	67254736
NM_001271885.1	chr15	AAGAB	-	67200674	67255198
NM_014911.4	chr2	AAK1	-	69457996	69643739
NM_014911.3	chr2	AAK1	-	69467786	69643717
NM_001371577.1	chr2	AAK1	-	69457996	69643739
NM_001371575.1	chr2	AAK1	-	69457996	69643738
NM_024684.3	chr11	AAMDC	+	77821113	77872352
NM_024684.2	chr11	AAMDC	+	77821143	77872361
NM_001363564.1	chr11	AAMDC	+	77841137	77872352
NM_001316962.1	chr11	AAMDC	+	77821113	77872352
NM_001316961.1	chr11	AAMDC	+	77821113	77872352
NM_001316960.1	chr11	AAMDC	+	77821113	77872352
NM_001316958.1	chr11	AAMDC	+	77821113	77900785
NM_001316957.1	chr11	AAMDC	+	77821113	77900785
